# Title: Calibrated AquaCrop parameters - Jablje maize site, Slovenia
# Authors: Rok Kuk, Ajda Bleiweis, Tanja Travnikar, Lazar Pavić, Aleš Kolmanič, Nejc Golob, Petra Pantar, Tjaša Pogačar
# Contact: rok.kuk@bf.uni-lj.si
# Date exported: 2026-09-04
# Parameter version: 2.0
# Aquacrop version: 7.1
# Source file: aquacrop_slovenia/parameters_projections_jablje.py
# License: CC BY 4.0
# DOI: 10.5281/zenodo.21829886
parameter,value
soil_layers[2].thickness,0.5
soil_layers[2].sat,44.5
soil_layers[2].fc,37.8
soil_layers[2].wp,19.5
soil_layers[2].ksat,8600
soil_layers[2].penetrability,100
soil_layers[2].gravel,1
soil_layers[2].cra,0.2754
soil_layers[2].crb,2.196637
soil_layers[2].description,B1+B2 60-110
soil_layers[3].thickness,0.38
soil_layers[3].sat,44.2
soil_layers[3].fc,38.6
soil_layers[3].wp,21.3
soil_layers[3].ksat,513.0
soil_layers[3].penetrability,100
soil_layers[3].gravel,0
soil_layers[3].cra,-0.58822
soil_layers[3].crb,-0.023409
soil_layers[3].description,B3 110-148
soil_layers[4].thickness,0.2
soil_layers[4].sat,43.9
soil_layers[4].fc,39.2
soil_layers[4].wp,22.9
soil_layers[4].ksat,829.0
soil_layers[4].penetrability,100
soil_layers[4].gravel,0
soil_layers[4].cra,-0.60086
soil_layers[4].crb,0.260814
soil_layers[4].description,BC 148-168+
curve_number,72
readily_evaporable_water,10
groundwater.name,DeepGroundwater
groundwater.description,Fixed deep groundwater table at given depth
groundwater.params.groundwater_type,1
groundwater.params.first_day,1
groundwater.params.first_month,1
groundwater.params.first_year,1901
groundwater.params.groundwater_observations[0].day,1
groundwater.params.groundwater_observations[0].depth,2.7
groundwater.params.groundwater_observations[0].ec,0.0
management.name,OptimalFieldManagement
management.description,"Optimal field management with no fertility stress, runoff adjustment for row crops"
management.params.fertility_stress,0
management.params.mulch_cover,0
management.params.mulch_effect,50
management.params.bund_height,0.0
management.params.surface_runoff_affected,0
management.params.runoff_adjustment,15
management.params.weed_cover_initial,0
management.params.weed_cover_increase,0
management.params.weed_shape_factor,100.0
management.params.weed_replacement,100
management.params.multiple_cuttings,False
management.params.canopy_after_cutting,25
management.params.cgc_increase_after_cutting,20
management.params.cutting_window_start_day,1
management.params.cutting_window_length,-9
management.params.cutting_schedule_type,0
management.params.cutting_time_criterion,0
management.params.final_harvest_at_maturity,0
management.params.day_nr_base,41274
initial_cond.name,FieldCapacityInitialJablje
initial_cond.description,Initial soil water content at field capacity
initial_cond.params.initial_canopy_cover,-9.0
initial_cond.params.initial_biomass,0.0
initial_cond.params.initial_rooting_depth,-9.0
initial_cond.params.water_layer,0.0
initial_cond.params.water_layer_ec,0.0
initial_cond.params.soil_water_content_type,0
initial_cond.params.soil_data[0].thickness,0.35
initial_cond.params.soil_data[0].water_content,32.0
initial_cond.params.soil_data[0].ec,0.0
initial_cond.params.soil_data[1].thickness,0.25
initial_cond.params.soil_data[1].water_content,33.1
initial_cond.params.soil_data[1].ec,0.0
initial_cond.params.soil_data[2].thickness,0.5
initial_cond.params.soil_data[2].water_content,37.8
initial_cond.params.soil_data[2].ec,0.0
initial_cond.params.soil_data[3].thickness,0.38
initial_cond.params.soil_data[3].water_content,38.6
initial_cond.params.soil_data[3].ec,0.0
initial_cond.params.soil_data[4].thickness,0.2
initial_cond.params.soil_data[4].water_content,39.2
initial_cond.params.soil_data[4].ec,0.0
